umkm_id,Nama UMKM,Provinsi,Kabupaten,Latitude_umkm,Longitude_umkm,Rating_umkm,Gambar_UMKM,,
39,Trinata Coffee and View,Yogyakarta,Sleman,-7.783495,110.505872,4.9,https://lh5.googleusercontent.com/p/AF1QipOXHJL3e8kJUHyp-zhZtsigoJPAh28JeALnJXPW=w328-h130-p-k-no,,
40,Warmindo Barokah,Yogyakarta,Sleman,-7.755024,110.496955,4.9,https://lh5.googleusercontent.com/p/AF1QipMtIBKSXu_HcKyAXi9_3QATYXopbXt1ItYJ7HRT=s483-k-no,,
41,Bakpia Menuk,Yogyakarta,Sleman,-7.740408,110.471555,4.5,https://lh5.googleusercontent.com/p/AF1QipPMQz6B5A-zRClyU9bwFbP5av7cpj5z--YIYV0p=w408-h306-k-no,,
42,Warung Nasi Goreng Madu Rasa,Yogyakarta,Sleman,-7.744268,110.471389,4.3,https://lh5.googleusercontent.com/p/AF1QipPZvZ3_I42ae3Wc6ZbUafAAUlC43a-7f_HBsvF1=w328-h130-p-k-no,,
43,Mie Ayam dan Bakso Pak Dul,Yogyakarta,Sleman,-7.781777,110.477171,4.3,https://lh5.googleusercontent.com/p/AF1QipOqcpzIMK7UkVtwd5Q68Q2_cH3ATWIU2-Mtz54c=w408-h305-k-no,,
44,Opak Kopi,Yogyakarta,Sleman,-7.779583,110.475419,4.5,https://lh5.googleusercontent.com/p/AF1QipPGYKka4mOsblnlpPeV5G8_ZGOmxG4gi-o_n-QV=w408-h544-k-no,,
45,Kopi Talang,Yogyakarta,Sleman,-7.767437,110.487912,4.7,https://lh5.googleusercontent.com/p/AF1QipNDajMCTXMDGF0NLNrF5x9i76AFhezir2jop8po=w427-h240-k-no,,
46,Sate Bang Jez,Yogyakarta,Sleman,-7.815244,110.434001,5.0,https://lh5.googleusercontent.com/p/AF1QipMvvr5sZqMTf0YZaQqk4C42hPvVSbJHEKJRHy24=w408-h544-k-no,,
47,Warung Mie Ayam Monggang,Yogyakarta,Bantul ,-7.842046,110.437444,4.2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sl_uOLqccGkEXmnVr3ZcHg&cb_client=search.gws-prod.gps&yaw=299.9801&pitch=0&thumbfov=100&w=328&h=130,,
48,Rumah Makan Padang Nggayam,Yogyakarta,Bantul ,-7.840762,110.441923,4.6,https://lh5.googleusercontent.com/p/AF1QipOc8OvEtD1wwHkfxD6smCpfA_1mwwzcqhsHjeam=w408-h306-k-no,,
49,Rumah Makan Minang Angkasa,Yogyakarta,Bantul ,-7.834106,110.467023,4.1,https://lh5.googleusercontent.com/p/AF1QipOQuVNS8WNloi-nB2E0Yr66TKze2H-gypNUXCiy=w408-h724-k-no,,
50,"Ayam Goreng & Soto JOOSS ""Mbak Nung""",Jawa Tengah,Sukoharjo,-7.822095,110.754202,4.4,https://lh5.googleusercontent.com/p/AF1QipPiZgfFW6DZkCOFeRilPRZzU5mw-gT0q89Z8OYv=w408-h306-k-no,,
51,"MIE AYAM, BAKSO, SOTO & CILOK Pak Suwadi NGREJENG",Yogyakarta,Gunung Kidul,-7.839565,110.758103,4.8,https://lh5.googleusercontent.com/p/AF1QipN5RT45ogcJrcuAWPXp1sQOWiTWyxAeLJO8QQKz=w328-h130-p-k-no,,
52,Warung Makan Organik SOKA Samigaluh,Yogyakarta,Kulon Progo,-7.701860,110.161825,5.0,https://lh5.googleusercontent.com/p/AF1QipM3pZPH_NI5kgUrjlOlQvT9HOwDfOWw0baEkyFY=w426-h240-k-no,,
53,Soto Ayam & Angkringan,Yogyakarta,Kulon Progo,-7.699972,110.158056,4.2,https://lh5.googleusercontent.com/p/AF1QipM41cZEMRc2FOMUL4RWg7ufOTILQfD5MLqiNWYe=w328-h130-p-k-no,,
54,PECEL LELE GUBUG NOMOZ,Yogyakarta,Kulon Progo,-7.697425,110.149716,5.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gpNKtqLPyBO3btVajmKp3Q&cb_client=search.gws-prod.gps&yaw=343.03122&pitch=0&thumbfov=100&w=328&h=130,,
